DATE	PET	P	T	Q
04/11/1990	1.9294	0.123333333	7.725	1.576093333
05/11/1990	2.513166667	0.093333333	8.348	1.462933333
06/11/1990	2.876966667	-0.139666667	6.315	1.3838
07/11/1990	3.098266667	0.125333333	6.082	1.4532
08/11/1990	3.958933333	2.497	5.064	1.791146667
09/11/1990	2.897733333	24.90833333	4.754	1.9926
10/11/1990	3.306233333	22.73033333	5.66	2.045973333
11/11/1990	3.850733333	0.134333333	6.886333333	2.169533333
12/11/1990	3.3642	1.227666667	9.710666667	2.153626667
13/11/1990	3.765366667	3.88	5.647666667	1.884106667
14/11/1990	2.384533333	1.789666667	3.919666667	1.661706667
15/11/1990	3.789566667	0.3	1.777666667	1.617826667
16/11/1990	4.157833333	0.931333333	2.502	1.44996
17/11/1990	4.3423	0.149666667	2.37	1.355253333
18/11/1990	3.3366	0.516333333	2.573333333	1.237346667
19/11/1990	2.540666667	0.068333333	1.841333333	1.250213333
20/11/1990	1.552333333	0.264666667	3.387	1.41484
21/11/1990	1.909833333	6.354333333	4.843333333	1.607733333
22/11/1990	1.9224	27.18466667	7.778333333	1.684386667
23/11/1990	2.464766667	11.15633333	8.622666667	1.890066667
24/11/1990	1.328266667	0.648333333	6.913	1.920733333
25/11/1990	2.102433333	-0.236	5.804666667	1.83824
26/11/1990	3.468366667	0.037	5.855333333	1.805146667
27/11/1990	3.370866667	0.219	9.036	1.752213333
28/11/1990	4.438333333	7.803	10.58966667	1.579573333
29/11/1990	3.0044	1.894666667	8.323666667	1.577386667
30/11/1990	3.6756	0.207666667	4.766666667	1.501946667
01/12/1990	4.095	0.14	2.694333333	1.41664
02/12/1990	2.742133333	-0.214	7.243333333	1.437426667
03/12/1990	3.4578	-0.212333333	8.348666667	1.42152
04/12/1990	5.345866667	0.075333333	9.527666667	1.431106667
05/12/1990	4.285333333	14.02533333	7.905	1.78704
06/12/1990	4.851066667	24.45	8.887666667	2.017
07/12/1990	5.270833333	15.531	10.595	2.17208
08/12/1990	2.361766667	-0.196333333	8.086666667	2.328666667
09/12/1990	2.043333333	13.60666667	8.169666667	2.360333333
10/12/1990	3.075366667	17.80633333	7.705	2.045946667
11/12/1990	3.355266667	1.220333333	9.123333333	1.932373333
12/12/1990	4.4291	2.370333333	10.60833333	1.745533333
13/12/1990	4.568266667	1.097	13.73466667	1.68552
